时间,收盘价,信号类型,方向,置信度,张力,加速度,DXY燃料,量能比率,EMA偏离%,V705通过,过滤原因
2025-08-06 08:00:00,114226.69,LOW_OSCILLATION,做多,0.6,-0.6029433116301366,-0.006335587368335853,0.2622599159323994,0.8318873735192488,0.005525215907813881,True,
2025-08-07 00:00:00,114546.03,LOW_OSCILLATION,做多,0.6,-0.6886938524783612,-0.0015578599005020267,-0.31439464018250035,0.7112378679817738,0.054934137281153844,True,
2025-08-07 04:00:00,114787.99,LOW_OSCILLATION,做多,0.6,-0.7082836195694173,0.005992947264841019,-0.31439464018250035,0.7603841517438357,0.24086256814106255,True,
2025-08-07 20:00:00,117472.01,LOW_OSCILLATION,做多,0.6,-0.7783917885793706,-0.006531897987325885,-0.31439464018250035,0.9466056698383646,1.8311488010777124,True,
2025-08-08 00:00:00,116737.35,LOW_OSCILLATION,做多,0.6,-0.7937287630170172,-0.0063393046263104475,0.12604000137737037,1.238108268935766,1.0793343772766073,True,
2025-08-08 04:00:00,116817.19,LOW_OSCILLATION,做多,0.6,-0.8081435767704988,0.006937843788554562,0.12604000137737037,0.74446541974002,1.0379524676264134,True,
2025-08-08 08:00:00,116891.51,LOW_OSCILLATION,做多,0.6,-0.8216156814209628,-4.77207579721731e-05,0.12604000137737037,0.5711570252798993,0.9962131954795644,True,
2025-08-08 12:00:00,116207.69,LOW_OSCILLATION,做多,0.6,-0.8341260287864449,-0.006486247657840504,0.12604000137737037,1.2947494732579927,0.36663202358311137,True,
2025-08-08 16:00:00,116453.41,LOW_OSCILLATION,做多,0.6,-0.8456571056139628,0.007964529935159906,0.12604000137737037,0.859466583481194,0.5234385293161826,True,
2025-08-09 00:00:00,116384.01,LOW_OSCILLATION,做多,0.6,-0.8657192601946131,-0.004392387394479986,0.12604000137737037,0.5530491062196259,0.35744195906142345,True,
2025-08-09 04:00:00,116756.01,LOW_OSCILLATION,做多,0.6,-0.8742232635862848,0.0056881143662078654,0.12604000137737037,1.1144900702826204,0.6132278977798921,True,
2025-08-09 08:00:00,117110.0,LOW_OSCILLATION,做多,0.6,-0.8816938993934353,-0.0001644371824429591,0.12604000137737037,1.2531341747689688,0.8300942349074079,True,
2025-08-09 12:00:00,116892.47,LOW_OSCILLATION,做多,0.6,-0.8881217614372137,-0.004889362604044593,0.12604000137737037,0.7373148051261362,0.5812286617175899,True,
2025-08-09 16:00:00,116535.69,LOW_OSCILLATION,做多,0.6,-0.89349913309915,-0.001194722453765336,0.12604000137737037,0.6427188880458344,0.24805164112480663,True,
2025-08-09 20:00:00,116462.25,LOW_OSCILLATION,做多,0.6,-0.8978200037095494,0.002422013664937093,0.12604000137737037,0.891483360829576,0.1672393158133493,True,
2025-08-10 12:00:00,118815.0,LOW_OSCILLATION,做多,0.6,-0.9044786531062858,-0.0003395185418623376,0.12604000137737037,1.3638201976536084,1.5810707952997347,True,
2025-08-10 16:00:00,118663.08,LOW_OSCILLATION,做多,0.6,-0.903487360398338,-0.005372411829485178,0.12604000137737037,0.5174068363442774,1.311166169928405,True,
2025-08-10 20:00:00,119294.01,LOW_OSCILLATION,做多,0.6,-0.9014398908852296,0.00659561298317746,0.12604000137737037,1.3922173027557188,1.6707180084468591,True,
2025-08-11 08:00:00,120561.54,LOW_OSCILLATION,做多,0.6,-0.8890306133769076,-0.006451297666074279,-0.4171160897338265,1.771144876157207,1.8721090903185693,True,
2025-08-11 12:00:00,120314.4,LOW_OSCILLATION,做多,0.6,-0.8828372626709635,0.005977350051279406,-0.4171160897338265,2.0378275951840865,1.5024929446788096,True,
2025-08-11 16:00:00,119089.3,LOW_OSCILLATION,做多,0.6,-0.8756357395958935,-0.008132581088624257,-0.4171160897338265,1.0595895455110123,0.42409414033816445,True,
2025-08-11 20:00:00,118686.0,LOW_OSCILLATION,做多,0.6,-0.8674407491481481,0.006795954240065714,-0.4171160897338265,0.8785752044819258,0.07599799155468688,True,
2025-08-12 00:00:00,118857.7,LOW_OSCILLATION,做多,0.6,-0.858268655914153,0.0048332087248213335,0.6214514966931809,0.7138738550606636,0.19970716039627545,True,
2025-08-12 04:00:00,118986.72,LOW_OSCILLATION,做多,0.6,-0.8481374605462013,-0.0003611746988003313,0.6214514966931809,1.1326997300871013,0.2790134764805981,True,
2025-08-12 08:00:00,118522.22,LOW_OSCILLATION,做多,0.6,-0.8370667734847571,-0.0049892967145728755,0.6214514966931809,0.8271255130585244,-0.10175629171834763,True,
2025-08-12 20:00:00,120134.08,LOW_OSCILLATION,做多,0.6,-0.7984373858784394,0.006150007753834903,0.6214514966931809,0.7030837419697976,0.9753884475701503,True,
2025-08-13 00:00:00,119482.01,LOW_OSCILLATION,做多,0.6,-0.783835961729847,-0.009345529983167587,-0.2164446315852984,0.7680472753185286,0.38645562229393626,True,
2025-08-13 04:00:00,119580.4,LOW_OSCILLATION,做多,0.6,-0.7684161377402877,0.006251323195693509,-0.2164446315852984,0.7470319474570372,0.4242532448270409,True,
2025-08-13 08:00:00,120570.41,LOW_OSCILLATION,做多,0.6,-0.7522064825391488,0.007455561100847857,-0.2164446315852984,1.044211254308015,1.134724384507245,True,
2025-08-13 12:00:00,120920.62,LOW_OSCILLATION,做多,0.6,-0.7352369173539007,-0.0053744225039678165,-0.2164446315852984,2.179693775037162,1.2906795467382435,True,
