信号时间,信号类型,方向,开仓价,张力,DXY燃料,首次开仓盈亏%,最优开仓盈亏%,最优开仓周期,价格优势%,最优平仓盈亏%,最优平仓周期,是好机会,好机会类型,好机会盈亏%,好机会平仓周期,张力变化%
2025-12-26 16:00:00,LOW_OSCILLATION,long,87501.83,-0.721983766747791,-0.2485974480971609,-0.1511625528288998,2.996188765423536,14,2.996188765423536,2.996188765423536,14,True,2,2.996188765423536,14,0.0
2025-12-26 20:00:00,LOW_OSCILLATION,long,87369.56,-0.7354711047647053,-0.2485974480971609,0.1655725403676103,3.152116137473973,13,3.152116137473973,3.152116137473973,13,True,1,3.152116137473973,1,0.0
2025-12-27 00:00:00,LOW_OSCILLATION,long,87514.22,-0.7490501694797616,-0.2485974480971609,0.02861249291828642,2.981606874859882,12,2.981606874859882,2.981606874859882,12,True,1,2.981606874859882,1,0.0
2025-12-27 04:00:00,LOW_OSCILLATION,long,87539.26,-0.7627110246950418,-0.2485974480971609,-0.07228756560199256,2.952149698318227,11,2.952149698318227,2.952149698318227,11,True,2,2.952149698318227,11,0.0
2025-12-27 08:00:00,LOW_OSCILLATION,long,87475.98,-0.7764432906594902,-0.2485974480971609,0.08604647813034398,3.026625137552054,10,3.026625137552054,3.026625137552054,10,True,1,3.026625137552054,1,0.0
2025-12-27 12:00:00,LOW_OSCILLATION,long,87551.25,-0.7902361481493964,-0.2485974480971609,0.02071929298553638,2.938050570380209,9,2.938050570380209,2.938050570380209,9,True,1,2.938050570380209,1,0.0
2025-12-27 16:00:00,LOW_OSCILLATION,long,87569.39,-0.8040783434505897,-0.2485974480971609,0.35128713355202695,2.91672695219186,8,2.91672695219186,2.91672695219186,8,True,1,2.91672695219186,1,0.0
2025-12-27 20:00:00,LOW_OSCILLATION,long,87877.01,-0.8179581942484787,-0.2485974480971609,-0.15589970573646053,2.55645930602328,7,2.55645930602328,2.55645930602328,7,True,2,2.55645930602328,7,0.0
2025-12-28 00:00:00,LOW_OSCILLATION,long,87740.01,-0.8318635964303546,-0.2485974480971609,-0.010439934985178303,2.71659417408319,6,2.71659417408319,2.71659417408319,6,True,2,2.71659417408319,6,0.0
2025-12-28 04:00:00,LOW_OSCILLATION,long,87730.85,-0.8457820318026635,-0.2485974480971609,0.17371312371873082,2.7273188393820385,5,2.7273188393820385,2.7273188393820385,5,True,1,2.7273188393820385,1,0.0
2025-12-28 08:00:00,LOW_OSCILLATION,long,87883.25,-0.8597005767242386,-0.2485974480971609,-0.0534572856602321,2.549177459868636,4,2.549177459868636,2.549177459868636,4,True,2,2.549177459868636,4,0.0
2025-12-28 12:00:00,LOW_OSCILLATION,long,87836.27,-0.8736059116547299,-0.2485974480971609,-0.35921379630533495,2.6040267875673666,3,2.6040267875673666,2.6040267875673666,3,True,2,2.6040267875673666,3,0.0
2025-12-28 16:00:00,LOW_OSCILLATION,long,87520.75,-0.8874843316156968,-0.2485974480971609,0.49355152920879497,2.9739233267539444,2,2.9739233267539444,2.9739233267539444,2,True,1,2.9739233267539444,1,0.0
2025-12-28 20:00:00,LOW_OSCILLATION,long,87952.71,-0.901321757560083,-0.2485974480971609,2.468190008016804,2.468190008016804,1,2.468190008016804,2.468190008016804,1,True,1,2.468190008016804,1,0.0
2025-12-29 00:00:00,LOW_OSCILLATION,long,90123.55,-0.915103748643987,-0.0736686810526266,-0.561273940052291,0.21933223890980577,30,0.21933223890980577,0.21933223890980577,30,True,2,0.21933223890980577,30,0.0
2025-12-29 04:00:00,LOW_OSCILLATION,long,89617.71,-0.9288155153928936,-0.0736686810526266,-2.287550083571654,0.785012248137109,29,0.785012248137109,0.785012248137109,29,True,2,0.785012248137109,29,0.0
2025-12-29 08:00:00,LOW_OSCILLATION,long,87567.66,-0.9424419337527212,-0.0736686810526266,0.14155910983574513,3.14449421167586,28,3.14449421167586,3.14449421167586,28,True,1,3.14449421167586,1,0.0
2025-12-29 12:00:00,LOW_OSCILLATION,long,87691.62,-0.9559675600142808,-0.0736686810526266,-0.371061681834592,2.998690182710738,27,2.998690182710738,2.998690182710738,27,True,2,2.998690182710738,27,0.0
2025-12-29 16:00:00,LOW_OSCILLATION,long,87366.23,-0.9693766465979664,-0.0736686810526266,-0.14776876603235745,3.382302292315927,26,3.382302292315927,3.382302292315927,26,True,2,3.382302292315927,26,0.0
2025-12-29 20:00:00,LOW_OSCILLATION,long,87237.13,-0.9826531586837332,-0.0736686810526266,0.16262570765452203,3.886968771210137,30,3.886968771210137,3.886968771210137,30,True,1,3.886968771210137,1,0.0
2025-12-30 00:00:00,LOW_OSCILLATION,long,87379.0,-0.9957807916696688,0.1730549118524102,0.14173886174024172,4.414996738346741,30,4.414996738346741,4.414996738346741,30,True,1,4.414996738346741,1,0.0
2025-12-30 04:00:00,LOW_OSCILLATION,long,87502.85,-1.0087429894407411,0.1730549118524102,0.4583165005482605,4.604592878974792,30,4.604592878974792,4.604592878974792,30,True,1,4.604592878974792,1,0.0
