时间,收盘价,信号类型,方向,置信度,张力,加速度,量能比率,EMA偏离%,DXY燃料,V705通过,过滤原因
2025-10-20 00:00:00,110145.44,HIGH_OSCILLATION,做空,0.6,0.8543624439520773,-0.0002861674248275,1.0455365694406515,1.6574775380648392,0.0997443714116462,True,
2025-10-20 04:00:00,111169.92,HIGH_OSCILLATION,做空,0.6,0.8423884718555625,-0.0002532348359466,1.0995272271616228,2.3492799875810273,0.0997443714116462,True,
2025-10-20 08:00:00,111016.75,HIGH_OSCILLATION,做空,0.6,0.8301945482165288,-0.0002199515425189,0.9432642124307168,1.993759212975743,0.0997443714116462,True,
2025-10-20 12:00:00,111144.55,HIGH_OSCILLATION,做空,0.6,0.8178142573201007,-0.0001863672573944,0.8816218236144319,1.9062753000477002,0.0997443714116462,True,
2025-10-20 16:00:00,110803.22,HIGH_OSCILLATION,做空,0.6,0.8052814343009826,-0.0001525321226899,1.281484694638985,1.4393878484707139,0.0997443714116462,True,
2025-10-20 20:00:00,110532.09,HIGH_OSCILLATION,做空,0.6,0.7926301146478499,-0.0001184966340146,0.5303053419799716,1.0765046169710395,0.0997443714116462,True,
2025-10-21 00:00:00,109059.22,HIGH_OSCILLATION,做空,0.6,0.7798944834304874,-8.43115642298331e-05,0.9620624732692545,-0.2446809010390571,-0.2849848418852939,True,
2025-10-21 04:00:00,108086.37,HIGH_OSCILLATION,做空,0.6,0.7671088243262233,-5.002788690156024e-05,1.8558284137665602,-1.0275957718673723,-0.2849848418852939,True,
2025-10-21 08:00:00,108580.01,HIGH_OSCILLATION,做空,0.6,0.7543074685224305,-1.5696699528722213e-05,1.118598662311113,-0.521048534167739,-0.2849848418852939,True,
2025-10-21 12:00:00,113422.61,HIGH_OSCILLATION,做空,0.6,0.7415247435719375,1.8630853299894667e-05,3.307540779786577,3.5295685121396034,-0.2849848418852939,True,
2025-10-21 16:00:00,111780.39,HIGH_OSCILLATION,做空,0.6,0.728794922278186,5.290365674137654e-05,3.1162015490698027,1.8336522128381223,-0.2849848418852939,True,
2025-10-21 20:00:00,108297.67,HIGH_OSCILLATION,做空,0.6,0.7161521716868025,8.70707023680195e-05,1.6758230474806761,-1.213167490812123,-0.2849848418852939,True,
2025-10-22 00:00:00,108216.02,HIGH_OSCILLATION,做空,0.6,0.7036305022600017,0.0001210811645827,1.2510702060105625,-1.1664442945669125,0.2124200108776399,True,
2025-10-22 04:00:00,108321.63,HIGH_OSCILLATION,做空,0.6,0.6912637173098304,0.0001548844766294,0.963122890173186,-0.9690744511856271,0.2124200108776399,True,
2025-10-22 08:00:00,107555.05,HIGH_OSCILLATION,做空,0.6,0.6790853627658044,0.0001884304061453,0.9600653005783495,-1.513273279960759,0.2124200108776399,True,
2025-10-22 12:00:00,108416.5,HIGH_OSCILLATION,做空,0.6,0.6671286773518126,0.000221669130034,1.7559952424520886,-0.6559118267394967,0.2124200108776399,True,
2025-10-22 16:00:00,107870.35,HIGH_OSCILLATION,做空,0.6,0.6554265432464932,0.0002545513086724,0.8984818916351501,-1.047383406325864,0.2124200108776399,True,
2025-10-22 20:00:00,107567.44,HIGH_OSCILLATION,做空,0.6,0.6440114373003926,0.0002870281592187,0.8780256883803086,-1.2005524138020032,0.2124200108776399,True,
2025-11-02 12:00:00,110117.48,HIGH_OSCILLATION,做空,0.6,1.3149150462370092,0.0002713453488445,0.6102727114417454,-0.26158529540990344,0.5210861421828454,True,
2025-11-02 16:00:00,110180.84,HIGH_OSCILLATION,做空,0.6,1.3463072112466652,0.0002384193781499,0.44250961806729894,-0.18478583692974226,0.5210861421828454,False,量能过低
2025-11-02 20:00:00,110540.68,HIGH_OSCILLATION,做空,0.6,1.3779044495849468,0.0002050733286256,0.6254367641824289,0.12773613392609792,0.5210861421828454,True,
2025-11-03 00:00:00,107937.45,HIGH_OSCILLATION,做空,0.6,1.409673040979286,0.0001713530560574,1.6474624674368918,-2.0221579167767114,0.0294758833139574,False,趋势不符
2025-11-03 04:00:00,107468.23,HIGH_OSCILLATION,做空,0.6,1.4415789371897303,0.0001373048161052,1.5823163317323476,-2.2201075593703696,0.0294758833139574,False,趋势不符
2025-11-03 08:00:00,107787.42,HIGH_OSCILLATION,做空,0.6,1.4735878085952636,0.0001029751950889,1.4421609088513918,-1.7491270523800875,0.0294758833139574,True,
2025-11-03 12:00:00,105745.71,HIGH_OSCILLATION,做空,0.6,1.505665091041298,6.841104050092639e-05,2.4318251001160993,-3.277636992585595,0.0294758833139574,False,趋势不符
2025-11-03 16:00:00,107090.0,HIGH_OSCILLATION,做空,0.6,1.5377760328787535,3.36593914214145e-05,2.7793768230295974,-1.8566245317060148,0.0294758833139574,True,
2025-11-03 20:00:00,106583.04,HIGH_OSCILLATION,做空,0.6,1.5698857421250492,-1.2325911600274964e-06,1.2848812272687158,-2.104814986470526,0.0294758833139574,False,趋势不符
2025-11-04 00:00:00,107158.79,HIGH_OSCILLATION,做空,0.6,1.6019592336774386,-3.621769390615981e-05,1.526205945051193,-1.4280444145915263,-0.2410157990330003,True,
2025-11-04 04:00:00,104490.72,HIGH_OSCILLATION,做空,0.6,1.633961476509309,-7.12487205192236e-05,2.663944612398637,-3.5256082397334394,-0.2410157990330003,False,趋势不符
