时间,收盘价,信号类型,方向,置信度,张力,加速度,量能比率,EMA偏离%,DXY燃料,开盘价,最高价,最低价,成交量,价格vsEMA%,V7.0.5通过,过滤原因
2025-10-15 16:00:00,111271.73,BEARISH_SINGULARITY,short,0.7,0.4297820636288065,-0.02041737060043,0.6845568670096801,-1.5058182488318377,,110798.01,111557.7,110164.0,3317.74779,-1.5058182488318375,True,
2025-10-15 20:00:00,110763.28,BEARISH_SINGULARITY,short,0.7,0.5093442891269465,-0.0283309893803268,0.5337401703158565,-1.772909957812374,,111271.73,111556.27,110500.0,2410.40374,-1.7729099578123741,True,
2025-10-16 00:00:00,111329.48,BEARISH_SINGULARITY,short,0.7,0.6041714305593175,-0.0389602693242103,0.6285609449878707,-1.151157849737742,-0.1074373568872375,110763.28,111867.17,110361.0,2715.42468,-1.151157849737742,True,
2025-10-16 04:00:00,110584.2,BEARISH_SINGULARITY,short,0.7,0.6663942061016785,-0.0494786214714479,0.7442672541105334,-1.6430687880453887,-0.1074373568872375,111329.48,111773.7,110553.19,3097.1426,-1.6430687880453887,True,
2025-10-16 08:00:00,111404.72,BEARISH_SINGULARITY,short,0.7,0.7366026082921666,-0.062159356865172,1.2519072423131905,-0.8270143864911308,-0.1074373568872375,110584.21,111728.7,109635.15,5282.11808,-0.8270143864911308,True,
2025-10-16 12:00:00,108549.21,BEARISH_SINGULARITY,short,0.7,0.7665790035672789,-0.0704657463396816,1.8503868433506054,-3.0579566203056965,-0.1074373568872375,111404.73,111982.45,108361.69,8252.81169,-3.0579566203056965,True,
2025-10-16 16:00:00,108197.66,BEARISH_SINGULARITY,short,0.7,0.7526674189288631,-0.0733591446106339,1.7773268113938387,-3.060609263389728,-0.1074373568872375,108549.21,109254.0,107577.57,8255.26892,-3.060609263389728,True,
2025-10-16 20:00:00,108194.28,BEARISH_SINGULARITY,short,0.7,0.7042657426134887,-0.069953525200349,0.5031505085765907,-2.779973827555619,-0.1074373568872375,108197.67,108500.0,107427.0,2254.40655,-2.779973827555619,True,
2025-10-17 00:00:00,109176.74,BEARISH_SINGULARITY,short,0.7,0.690185698954993,-0.06765081190483,0.5454268128901983,-1.7195902738486892,-0.1830327934496225,108194.27,109240.0,107934.4,2417.89309,-1.7195902738486892,True,
2025-10-17 04:00:00,105633.75,BEARISH_SINGULARITY,short,0.7,0.6551103425138806,-0.0617073905378139,1.6857404581024493,-4.462314865902274,-0.1830327934496225,109176.74,109236.01,105542.09,8020.07533,-4.462314865902274,True,
2025-10-17 08:00:00,105683.72,BEARISH_SINGULARITY,short,0.7,0.5832107950349553,-0.0527006316749446,2.6340680275935764,-4.013325818822744,-0.1830327934496225,105633.75,106651.22,103528.23,13908.33322,-4.013325818822744,True,
2025-10-17 12:00:00,106803.53,BEARISH_SINGULARITY,short,0.7,0.5292008899858973,-0.043814074777972,1.4645416646776606,-2.718663795093284,-0.1830327934496225,105683.71,106852.14,104533.21,7847.34313,-2.718663795093284,True,
2025-10-17 16:00:00,106454.72,BEARISH_SINGULARITY,short,0.7,0.4982713634244897,-0.0367269385335699,0.7403591429583637,-2.75516398206753,-0.1830327934496225,106803.52,107575.6,106071.42,3916.46744,-2.75516398206753,True,
2025-10-17 20:00:00,106431.68,BEARISH_SINGULARITY,short,0.7,0.49095158796742,-0.0322937590817379,0.3605870581070626,-2.518468525104233,-0.1830327934496225,106457.24,107440.02,106342.47,1810.55617,-2.518468525104233,True,
2025-10-18 00:00:00,107070.4,BEARISH_SINGULARITY,short,0.7,0.4995706540964485,-0.0347178791801181,0.5579015895941808,-1.7525483879322905,-0.1830327934496225,106431.68,107306.06,106322.2,2668.3034,-1.7525483879322905,True,
