信号索引,信号类型,方向,普通信号时间,普通信号价格,普通信号张力,普通信号加速度,普通信号量能比率,信号前5周期平均张力,信号前5周期平均加速度,信号前5周期平均量能比率,开仓等待周期,开仓时间,开仓价格,开仓张力,开仓加速度,开仓量能比率,价格优势%,方向是否改变,持仓周期,平仓时间,平仓价格,平仓张力,平仓加速度,平仓量能比率,最优盈亏%
459,BULLISH_SINGULARITY,long,2025-12-19 08:00:00,88198.7,-0.5951645034984615,0.0408420174649066,0.5118658957012466,-0.4275508482911314,-0.004606207280740782,1.3703793273936566,2,2025-12-19 16:00:00,87845.92,-0.3062765844572548,0.0073174692933606,1.2069714693613462,0.3999832197073187,True,16,2025-12-22 08:00:00,89945.43,1.277975366360037,-0.1101671158000092,1.428029198200341,2.3899914759843086
460,BULLISH_SINGULARITY,long,2025-12-19 12:00:00,87951.87,-0.4489382586897647,0.0279973228570302,1.622926694969814,-0.49696766534148135,0.01435840988952185,1.274357903466483,1,2025-12-19 16:00:00,87845.92,-0.3062765844572548,0.0073174692933606,1.2069714693613462,0.12046361265541834,True,16,2025-12-22 08:00:00,89945.43,1.277975366360037,-0.1101671158000092,1.428029198200341,2.3899914759843086
461,HIGH_OSCILLATION,short,2025-12-21 16:00:00,88484.01,0.8792428586945161,0.0002137802296478,0.4684814456628637,0.5182870238070282,0.01960152390260605,0.43093055941328,4,2025-12-22 08:00:00,89945.43,1.277975366360037,-0.1101671158000092,1.428029198200341,1.6516204453211356,True,11,2025-12-24 04:00:00,86911.53,0.593275339497311,-0.0078903739916148,0.6981193581133937,3.373045189733369
462,BEARISH_SINGULARITY,short,2025-12-21 20:00:00,88658.86,1.0260393742294935,-0.0304959010709577,0.3441315064046015,0.6442279781571895,0.0136909473118728,0.4524469185559015,3,2025-12-22 08:00:00,89945.43,1.277975366360037,-0.1101671158000092,1.428029198200341,1.4511465633553065,True,11,2025-12-24 04:00:00,86911.53,0.593275339497311,-0.0078903739916148,0.6981193581133937,3.373045189733369
463,BEARISH_SINGULARITY,short,2025-12-22 00:00:00,88774.12,1.138156834489289,-0.0608310619181946,1.318931150563008,0.7798561737041377,-9.057110649594972e-05,0.6116062202467836,2,2025-12-22 08:00:00,89945.43,1.277975366360037,-0.1101671158000092,1.428029198200341,1.3194273285953133,True,11,2025-12-24 04:00:00,86911.53,0.593275339497311,-0.0078903739916148,0.6981193581133937,3.373045189733369
464,BEARISH_SINGULARITY,short,2025-12-22 04:00:00,89170.1,1.2035499414532884,-0.0863605079163631,0.6897853010594227,0.9160851235855502,-0.02011532297713627,0.6980430120599017,1,2025-12-22 08:00:00,89945.43,1.277975366360037,-0.1101671158000092,1.428029198200341,0.8694954923230849,True,11,2025-12-24 04:00:00,86911.53,0.593275339497311,-0.0078903739916148,0.6981193581133937,3.373045189733369
465,BEARISH_SINGULARITY,short,2025-12-22 08:00:00,89945.43,1.277975366360037,-0.1101671158000092,1.428029198200341,1.0388068541536246,-0.04413701316332977,0.8454181782616589,0,2025-12-22 08:00:00,89945.43,1.277975366360037,-0.1101671158000092,1.428029198200341,0.0,True,11,2025-12-24 04:00:00,86911.53,0.593275339497311,-0.0078903739916148,0.6981193581133937,3.373045189733369
466,BEARISH_SINGULARITY,short,2025-12-22 12:00:00,89726.92,1.3980942257420417,-0.1364436501486532,2.1332942322668305,1.1538431001614442,-0.07068074277075499,1.0637754723595112,0,2025-12-22 12:00:00,89726.92,1.3980942257420417,-0.1364436501486532,2.1332942322668305,0.0,True,10,2025-12-24 04:00:00,86911.53,0.593275339497311,-0.0078903739916148,0.6981193581133937,3.1377316863211173
467,BEARISH_SINGULARITY,short,2025-12-22 16:00:00,88052.43,1.4027349731194343,-0.1490549417903666,1.381612141237072,1.2410917858989305,-0.09555886310742406,1.2159639216218794,1,2025-12-22 20:00:00,88620.79,1.3549890777868685,-0.1502642518585448,0.9512552312578003,0.6454790628719737,True,8,2025-12-24 04:00:00,86911.53,0.593275339497311,-0.0078903739916148,0.6981193581133937,1.9287347810824016
468,BEARISH_SINGULARITY,short,2025-12-22 20:00:00,88620.79,1.3549890777868685,-0.1502642518585448,0.9512552312578004,1.2959167364918265,-0.11552025490535527,1.3171512090974125,0,2025-12-22 20:00:00,88620.79,1.3549890777868685,-0.1502642518585448,0.9512552312578003,0.0,True,8,2025-12-24 04:00:00,86911.53,0.593275339497311,-0.0078903739916148,0.6981193581133937,1.9287347810824016
