信号类型,方向,最优平仓盈亏%,信号前张力,信号前加速度,信号前量能比率,信号时张力,信号时加速度,信号时量能比率,最优开仓周期,开仓时张力,开仓时加速度,开仓时量能比率,价格优势%,最优平仓周期,平仓时张力,平仓时加速度,平仓时量能比率
BULLISH_SINGULARITY,long,1.851746363557186,-1.0626473164455355,0.10615958541917814,0.42008622981278837,-0.8338103261085992,0.0906819553341922,0.6241900887979325,8,-0.4119573940040944,0.02185522762103,1.4154082398493408,2.34759577841538,23,0.3346493952672992,-0.0320077621315317,0.7555224549369257
BULLISH_SINGULARITY,long,2.7680026379255587,-0.9631340384002084,0.09728786288176085,0.4455386334892555,-0.6374081061138063,0.0748424275816486,0.4497598268574821,10,-0.3937749810925627,0.022320521448056,2.6910959193952118,3.0821768168155605,20,0.3346493952672992,-0.0320077621315317,0.7555224549369257
BULLISH_SINGULARITY,long,1.7301150344849434,-0.8526693030202331,0.0882124758517518,0.9682100826542964,-0.5012141484541116,0.0598423224944217,3.428540731240442,2,-0.4127946555464085,0.0457824181480648,1.549593269609885,0.32234930930722255,27,0.3346493952672992,-0.0320077621315317,0.7555224549369257
BULLISH_SINGULARITY,long,1.7301150344849434,-0.7361409258948313,0.07851448846402563,1.2196431573505384,-0.4272642575885335,0.047051876582328,1.9535558668052928,1,-0.4127946555464085,0.0457824181480648,1.549593269609885,0.22456299577503863,27,0.3346493952672992,-0.0320077621315317,0.7555224549369257
BULLISH_SINGULARITY,long,1.7301150344849434,-0.6274475665294711,0.06921289847375524,1.4070516969728446,-0.4127946555464085,0.0457824181480648,1.549593269609885,0,-0.4127946555464085,0.0457824181480648,1.549593269609885,0.0,27,0.3346493952672992,-0.0320077621315317,0.7555224549369257
BULLISH_SINGULARITY,long,1.851746363557186,-0.5365733677074761,0.06019787348699101,1.583344567385149,-0.4069487124333976,0.0429862407812907,1.49442762099986,3,-0.4119573940040944,0.02185522762103,1.4154082398493408,1.1497146592364331,23,0.3346493952672992,-0.0320077621315317,0.7555224549369257
BULLISH_SINGULARITY,long,3.5996670238234274,-0.4664237111125536,0.05125496901262613,1.6323890785458024,-0.4129123865390643,0.037024528488003,0.9184571557618518,7,-0.4127695384609168,0.0307026936589847,1.211057214393044,2.9584145466938265,18,0.3346493952672992,-0.0320077621315317,0.7555224549369257
BULLISH_SINGULARITY,long,3.5996670238234274,-0.4255278723006111,0.043253051135042186,1.6771567351060837,-0.3920330732421517,0.0268309203161449,0.7183657662191708,6,-0.4127695384609168,0.0307026936589847,1.211057214393044,2.8858256318129047,18,0.3346493952672992,-0.0320077621315317,0.7555224549369257
BULLISH_SINGULARITY,long,2.7680026379255587,-0.41065174655894165,0.03692186865614357,1.341634653207567,-0.4119573940040944,0.02185522762103,1.4154082398493408,3,-0.3937749810925627,0.022320521448056,2.6910959193952118,0.8915773887292008,20,0.3346493952672992,-0.0320077621315317,0.7555224549369257
BULLISH_SINGULARITY,long,3.5996670238234274,-0.4149958997601335,0.0330325575236534,1.2545424418612183,-0.4533291767956846,0.023716009787387,1.4310025987272026,4,-0.4127695384609168,0.0307026936589847,1.211057214393044,1.8309567366457633,18,0.3346493952672992,-0.0320077621315317,0.7555224549369257
