时间,收盘价,信号类型,方向,置信度,张力,加速度,量能比率,EMA偏离%
2025-12-31 00:00:00,88453.04,BULLISH_SINGULARITY,long,0.6,-0.8582166200367302,0.1836169745443004,0.5736735583500931,0.44493538083561507
2025-12-31 04:00:00,88613.12,BULLISH_SINGULARITY,long,0.6,-0.5173352220537775,0.1512492896428625,0.49171832857089415,0.5666923270594127
2025-12-31 16:00:00,87541.85,BEARISH_SINGULARITY,short,0.7,0.9899209200003392,-0.0607860377543374,1.289198865251905,-0.6510582078963066
2025-12-31 20:00:00,87648.22,BEARISH_SINGULARITY,short,0.7,1.0657187844069942,-0.1183983908898427,0.6830293995358833,-0.48007544140055636
2026-01-01 00:00:00,87846.02,BEARISH_SINGULARITY,short,0.7,0.8148950877483465,-0.1359903866766432,0.3604437053748428,-0.23120843722680157
2026-01-01 04:00:00,87631.88,BEARISH_SINGULARITY,short,0.7,0.5080758454894962,-0.1088330921585194,0.47676657798505334,-0.4294241747527675
2026-01-02 16:00:00,89897.23,BEARISH_SINGULARITY,short,0.7,0.8447019415440786,-0.0262516833373402,2.469867595464185,1.4450651684974902
2026-01-02 20:00:00,89995.13,BEARISH_SINGULARITY,short,0.7,1.1119364017236613,-0.0765105328005303,0.7756418071828831,1.405312319890401
2026-01-03 00:00:00,90321.22,BEARISH_SINGULARITY,short,0.7,1.4148781430233477,-0.1331921099025411,0.5472155819381462,1.6012098432343258
2026-01-03 04:00:00,89577.13,BEARISH_SINGULARITY,short,0.7,1.570365553370893,-0.1781450455828428,0.934528920708665,0.6909092500417018
2026-01-03 08:00:00,89752.74,BEARISH_SINGULARITY,short,0.7,1.6478113905974383,-0.1993192150450773,0.6810680815521245,0.803027034357455
2026-01-03 12:00:00,89969.31,BEARISH_SINGULARITY,short,0.7,1.6207328991944798,-0.2066392164367501,0.5815553842648471,0.9456747546259294
2026-01-03 16:00:00,90123.77,BEARISH_SINGULARITY,short,0.7,1.4522876293033289,-0.1961911772104749,0.27752071226675956,1.0113318565634066
